txn_id,txn_datetime,customer_account,card_no,txn_amount,txn_currency,merchant_type,city,country_code,payment_channel,km_from_home,foreign_txn_flag,txn_count_past_hour,fraud_label,risk_index
e5e1abd3-5643-4a56-b1e3-3bfb1aa532f4,5/19/2026 15:55,ACC38740,4475-XXXX-XXXX-4409,58.91,USD,Healthcare,Los Angeles,US,Mobile App,2.1,0,0,normal,0.046
f0f57be2-6023-4cdf-8397-393a4afae304,6/13/2026 14:11,ACC58473,4488-XXXX-XXXX-2785,19.96,USD,Grocery,London,GB,Mobile App,13.3,0,1,normal,0.244
a9d8374a-be5e-45c9-9a5f-cf4b61f1a7b2,7/10/2026 16:19,ACC82413,4109-XXXX-XXXX-1255,30.05,USD,Coffee Shop,Tokyo,JP,Mobile App,9.6,0,0,normal,0.045
dd69896b-7181-4b24-a10d-c2de474084be,8/7/2026 12:34,ACC68552,4563-XXXX-XXXX-1810,34.57,USD,Grocery,Tokyo,JP,POS,3.6,0,0,normal,0.235
c2252145-278f-4bff-b916-e23c99bcd585,5/27/2026 9:07,ACC15535,4842-XXXX-XXXX-5947,16.29,USD,Healthcare,Dubai,AE,Mobile App,19.8,0,1,normal,0.064
814bb452-12f8-4faa-a20f-b7535a8318d4,5/18/2026 21:56,ACC35301,4870-XXXX-XXXX-3644,41.73,USD,Grocery,London,GB,ATM,14.8,0,1,normal,0.052
8481c908-fba9-4da3-8626-d355e3b898b6,6/17/2026 18:15,ACC57118,4137-XXXX-XXXX-6432,47.31,USD,Home Improvement,Delhi,IN,ATM,18.5,0,0,normal,0.083
4c2b94ed-7ee3-478c-aecb-2995db4907b9,6/30/2026 9:29,ACC63635,4706-XXXX-XXXX-1167,381.63,USD,Education,Berlin,DE,ATM,32.9,0,0,normal,0.212
1dc85d2f-6895-4470-84c9-8f799bd6fdb5,7/18/2026 12:07,ACC60913,4474-XXXX-XXXX-6956,21.95,USD,Subscription,Houston,US,Mobile App,13,0,0,normal,0.184
c27c299a-9877-49ba-8586-9d7d1fbdd5f3,7/12/2026 2:41,ACC74437,4878-XXXX-XXXX-2609,47.37,USD,Healthcare,Mumbai,IN,Online,5.4,0,2,normal,0.116
dfbe330e-7dbe-4926-b3e6-e74b911bad9d,7/6/2026 9:44,ACC85813,4579-XXXX-XXXX-6499,30.89,USD,Coffee Shop,Los Angeles,US,Mobile App,16.7,0,0,normal,0.119
4ac8ea1d-2347-4eb8-b8d2-ad350befd86a,7/3/2026 14:46,ACC66919,4661-XXXX-XXXX-6306,20.13,USD,Utilities,New York,US,ATM,7.1,0,0,normal,0.193
